strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,5,3472,4,3,17,1,48.932,0,../../simdata-nr=3/alpha_t/TotalDist/00005/3472/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,4105,1,3,146.5,1,275.99,1,../../simdata-nr=3/alpha_t/TotalDist/00005/4105/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,4105,2,0,59.5,0,55.966,1,../../simdata-nr=3/alpha_t/TotalDist/00005/4105/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,4105,3,0,52,0,48.229,1,../../simdata-nr=3/alpha_t/TotalDist/00005/4105/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,4105,4,0,167,0,12.582,1,../../simdata-nr=3/alpha_t/TotalDist/00005/4105/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,7042,1,3,39.5,1,199.98,0,../../simdata-nr=3/alpha_t/TotalDist/00005/7042/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,7042,2,0,165.5,0,160.44,0,../../simdata-nr=3/alpha_t/TotalDist/00005/7042/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,7042,3,0,114,0,108.78,0,../../simdata-nr=3/alpha_t/TotalDist/00005/7042/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,5,7042,4,0,67,0,55.058,0,../../simdata-nr=3/alpha_t/TotalDist/00005/7042/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,5834,1,2,104,1,191.51,1,../../simdata-nr=3/alpha_t/TotalDist/00006/5834/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,5834,2,0,69,0,63.765,1,../../simdata-nr=3/alpha_t/TotalDist/00006/5834/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,5834,3,2,37.5,1,83.388,1,../../simdata-nr=3/alpha_t/TotalDist/00006/5834/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,5834,4,0,157.5,0,47.019,1,../../simdata-nr=3/alpha_t/TotalDist/00006/5834/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,7667,1,0,210.5,0,205.14,0,../../simdata-nr=3/alpha_t/TotalDist/00006/7667/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,7667,2,0,67,0,61.519,0,../../simdata-nr=3/alpha_t/TotalDist/00006/7667/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,7667,3,2,131.5,1,142.57,0,../../simdata-nr=3/alpha_t/TotalDist/00006/7667/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,7667,4,0,50.5,0,40.524,0,../../simdata-nr=3/alpha_t/TotalDist/00006/7667/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,8004,1,0,163.5,0,162.52,1,../../simdata-nr=3/alpha_t/TotalDist/00006/8004/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,8004,2,0,137.5,0,132.04,1,../../simdata-nr=3/alpha_t/TotalDist/00006/8004/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,8004,3,2,11,1,62.607,1,../../simdata-nr=3/alpha_t/TotalDist/00006/8004/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,6,8004,4,2,15,1,20.645,1,../../simdata-nr=3/alpha_t/TotalDist/00006/8004/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1251,1,2,14,1,212.55,0,../../simdata-nr=3/alpha_t/TotalDist/00007/1251/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1251,2,0,55,0,71.126,0,../../simdata-nr=3/alpha_t/TotalDist/00007/1251/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1251,3,2,41.5,1,76.031,0,../../simdata-nr=3/alpha_t/TotalDist/00007/1251/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1251,4,3,29.5,1,55.286,0,../../simdata-nr=3/alpha_t/TotalDist/00007/1251/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1870,1,3,30.5,1,223.74,1,../../simdata-nr=3/alpha_t/TotalDist/00007/1870/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1870,2,0,68.5,0,63.257,1,../../simdata-nr=3/alpha_t/TotalDist/00007/1870/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
