strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,18,8431,1,0,135,0,113.933920704846
1,18,8431,2,0,44.5,0,39.059
1,18,8431,3,0,131,0,138.04
1,18,8431,4,0,49.5,0,39.542
1,19,3472,1,0,149.5,0,126.286343612335
1,19,3472,2,0,41,0,47.274
1,19,3472,3,0,103,0,113.31
1,19,3472,4,3,14,1,48.932
1,19,6801,1,3,14.5,1,139
1,19,6801,2,0,45,0,40.664
1,19,6801,3,0,65,0,61.086
1,19,6801,4,0,142.5,0,128.55
1,19,7623,1,2,8.5,1,236.224669603524
1,19,7623,2,0,69.5,0,64.163
1,19,7623,3,0,59.5,0,54.231
1,19,7623,4,3,85,1,10.046
1,20,2652,1,3,98.5,1,280.039647577092
1,20,2652,2,0,23,0,30.292
1,20,2652,3,2,50.5,1,153.93
1,20,2652,4,0,130.5,0,5.48
1,20,6605,1,2,23,1,137.352422907489
1,20,6605,2,0,49,0,45.881
1,20,6605,3,0,48.5,0,68.863
1,20,6605,4,0,169,0,160.76
1,20,7042,1,0,168.5,0,175.599118942731
1,20,7042,2,0,165.5,0,160.44
1,20,7042,3,2,15.5,1,108.78
1,20,7042,4,3,16,1,55.058
1,21,2652,1,3,18,1,280.039647577092
1,21,2652,2,0,23,0,30.292
1,21,2652,3,2,7.5,1,153.93
1,21,2652,4,0,130.5,0,5.48
1,21,7194,1,0,115.5,0,97.9162995594714
1,21,7194,2,3,33.5,1,52.19
1,21,7194,3,0,76,0,70.545
1,21,7194,4,0,45.5,0,35.919
1,21,8004,1,0,163.5,0,142.594713656388
1,21,8004,2,0,137.5,0,132.04
1,21,8004,3,0,68,0,62.607
1,21,8004,4,3,8,1,20.645
1,22,1418,1,3,17,1,208.013215859031
1,22,1418,2,2,29,1,79.532
1,22,1418,3,2,194.5,1,275.09
1,22,1418,4,2,12.5,1,67.384
1,22,3088,1,3,18,1,159.149779735683
1,22,3088,2,0,30,0,31.37
1,22,3088,3,3,9.5,1,153.38
1,22,3088,4,0,102.5,0,7.412
1,22,4774,1,2,22,1,222.84140969163
1,22,4774,2,0,44,0,56.349
1,22,4774,3,0,67.5,0,79.836
1,22,4774,4,0,35,0,25.697
1,23,1418,1,2,61,1,208.013215859031
1,23,1418,2,2,25,1,79.532
1,23,1418,3,2,54.5,1,275.09
1,23,1418,4,0,81,0,67.384
1,23,4105,1,3,20.5,1,242.568281938326
1,23,4105,2,0,59.5,0,55.966
1,23,4105,3,3,12,1,48.229
1,23,4105,4,0,167,0,12.582
1,23,5834,1,3,15.5,1,168.136563876652
1,23,5834,2,3,14,1,63.765
1,23,5834,3,3,12.5,1,83.388
1,23,5834,4,2,124.5,1,47.019
1,24,1600,1,3,28,1,143.237885462555
1,24,1600,2,0,50,0,45.193
1,24,1600,3,2,8,1,49.757
1,24,1600,4,0,33.5,0,24.596
1,24,3088,1,0,186,0,159.149779735683
1,24,3088,2,0,30,0,31.37
1,24,3088,3,0,157.5,0,153.38
1,24,3088,4,0,102.5,0,7.412
1,24,8989,1,3,6,1,373.95154185022
1,24,8989,2,0,156.5,0,151.39
1,24,8989,3,2,115,1,161.14
1,24,8989,4,0,224,0,11.83
1,25,3907,1,3,88,1,245.185022026432
1,25,3907,2,2,35,1,81.143
1,25,3907,3,3,41,1,48.94
1,25,3907,4,0,120.5,0,12.064
1,25,6801,1,2,76.5,1,139
1,25,6801,2,0,45,0,40.664
1,25,6801,3,3,7.5,1,61.086
1,25,6801,4,2,9,1,128.55
1,25,7667,1,0,210.5,0,180.145374449339
1,25,7667,2,0,67,0,61.519
1,25,7667,3,2,85.5,1,142.57
1,25,7667,4,2,14.5,1,40.524
1,26,1600,1,3,87.5,1,143.237885462555
1,26,1600,2,3,16.5,1,45.193
1,26,1600,3,2,39.5,1,49.757
1,26,1600,4,0,33.5,0,24.596
1,26,8004,1,2,84,1,142.594713656388
1,26,8004,2,0,137.5,0,132.04
1,26,8004,3,0,68,0,62.607
1,26,8004,4,3,14,1,20.645
1,26,8414,1,3,14.5,1,174.850220264317
1,26,8414,2,3,24,1,32.526
1,26,8414,3,0,71,0,65.974
1,26,8414,4,0,130.5,0,12.906
1,27,5754,1,2,24.5,1,95.3436123348018
1,27,5754,2,2,21.5,1,30.516
1,27,5754,3,0,68.5,0,63.153
1,27,5754,4,0,44,0,33.394
1,27,6400,1,3,129.5,1,152.180616740088
1,27,6400,2,0,57,0,89.609
1,27,6400,3,3,127.5,1,171.83
1,27,6400,4,2,13,1,46.471
1,27,7623,1,3,42.5,1,236.224669603524
1,27,7623,2,0,69.5,0,64.163
1,27,7623,3,3,14,1,54.231
1,27,7623,4,0,171,0,10.046
1,28,4105,1,2,54,1,242.568281938326
1,28,4105,2,0,59.5,0,55.966
1,28,4105,3,0,52,0,48.229
1,28,4105,4,0,167,0,12.582
1,28,6801,1,3,32.5,1,139
1,28,6801,2,0,45,0,40.664
1,28,6801,3,3,10,1,61.086
1,28,6801,4,0,142.5,0,128.55
1,28,8431,1,0,135,0,113.933920704846
